30IQTZXKAL4NIOMCQZ3DN0X1GNQ0X4 W175 skip
3LO69W1SU4BPTYG8QIPSXYPUGV4GL0 W402 |There are two kills and the broadcaster discusses the music playlist with someone in chat.|
37C0GNLMHG14YT3A1OII2U40D936DE W277 |Gorge kills Trying to be nice.....&#13;Sentzy kills Ballush&#13;&#13;|
3RXPCZQMQQ9C3RC4X879DJGGIQ8G15 W255 |People making funny noises.|
3VAR3R6G1QZI64DNKCTWX2CQNI98O8 W153 |Purple and green dragon spitting fire at a bunch of others|
3J2UYBXQQMAAZ92GPCUNNNKHJLI065 W398 |Skywrath ventures into the dark unknown to be killed by viper and his teammate.|
3L4D84MIL0QXY4NJ73VX2JO3RBLHJH W385 |dragon fight is very attractive in this video |
34BBWHLWHB9J0JY2KKWXRLJQTKTWI4 W106 |Skywrath gets caught out while roaming the enemy jungle, and quickly dies to Lion and Viper.|
3SNVL38CI5Q1SGIL3WH8S7R0U9XKCU W356 skip
379J5II41PER9KKHKNZ4XV4I4MMLE0 W11 |Earth Spirit and Gryocopter dodge lots of spells and binks to retreat all the way across the map. |
37QW5D2ZRHKX4W5GRTA5H7MRLEUS8M W295 |Not much else can be said, when this TUTURU sound comes out as another donation alert.|
3DPNQGW4LMDRYXKH8DHPZQAU17664K W29 |The steamer gets a donation asking for a song name. He responds saying he doesn't know because it's in anime language. jsf kills xXxBLINDKILLERSSSxXx|
3E47SOBEYRUAMLSX3TWWFRCN2C4ICR W103 |Bird kills multiple enemies. Funny commentary |
3D4CH1LGEBRUSWFZ1LM2SPYZHLIG93 W354 |Viper killed Skywrath Mage, and Skywrath Mage bought back.|
3IGI0VL648I39B0RQEIFFZ2LDZSNO4 W137 |Skywrath mage got killed by the viper with an assist by the lion.|
3N8OEVH1FSOLRW03RTISUO2Q2N4OOI W277 skip
3WOKGM4L72E0OF8KP8GH4N684KR0O7 W255 |Dogs barking as they are killing things.|
39ZSFO5CA9U23QT3722WLYDTLF5JUU W345 |The streamer barks along with his dog which makes a fun highlight. Also the "FeelsBadMan" donation is pretty funny.|
3V5Q80FXIYPIY0ICLX03Z81C6VG237 W295 |A dog barked during the stream! XD|
30LSNF239VTXO30V607Q3E31PDF2I9 W385 |Flying fighting scenes are very attractive |
3P529IW9KZJJFYKDFYJAFDPIGS5LFW W29 |The steamer's dog starts barking and he barks back.|
3X4MXAO0BHMWTI1LA7Q65DKHHOXRW5 W103 |Character with the wings with a lot of kills. I thought it was funny when the commentors dog started barking and he was mocking it.|
3R6BYFZZP8AEFS12THMYQ7K5N46FX9 W304 |There is a dog barking from the streamer's stream or one of his friend's. And someone imitated the barking.|
3QAPZX2QN5BMH8JF2AIKXA354YH02Q W163 |The streamer is barking at his dog which is barking at him.|
3U5JL4WY5L74HC4D90QFZ3NEYJZ4XM W293 skip
3Y5140Z9DYETGA118YI2ZRBU134PID W49 |dog barks in back ground, streamer imitates barking.|
3E4GGUZ1T9POUYQJ63S2GUIEIZXK2W W392 |woof woof? Puppy wants to play!|
3AMYWKA6YCKV2QUZRXWYDOGZI9D6ON W313 |0:13:48: Enemy slayed Roshan. immortality obtained by Ursa Warrior.|
3YHH42UU5CDSIU5NCG0PC62EA1V0L8 W398 |Skymage defends the canter lane against approaching creeps.|
3HUTX6F6VVL7KPBY4VKVNBZN24V2OM W156 |There is a dog in the background barking and the broadcaster starts barking as well.|
3N2BF7Y2VRSNZCT4A08PIBGKV08HM3 W262 skip
3TMFV4NEP9CQBDMPBYK6EWPCQKC8WO W153 |Big red spinning dude fighting a bunch of the little green dudes|
39L1G8WVWRPB9F0G2T0PUPR7ELM313 W319 |The near death escape Skywrath Mage was interesting and dramatic.|
3IXEICO793HBFIZ7NEIX7YMMGW76TF W244 |When the dude starts screaming after getting killed.|
3HVVDCPGTFQDY29DTXDPQP6FF62YT9 W24 |I think blitzcrank pulls someone in and then a bunch of stuff happens (explosions and ults) and the broadcaster skywrath mage says he is not afraid while running away (sorry I haven't played league in awhile so my terminology is way off)|
3NPFYT4IZD2KTSXX41SG8SKHN8KGX0 W302 |The streamer's character nearly died by being hit with a large radius attack. He manages to get out of it just in time.|
32AT8R96GM7V2TCTUWBADZ4GH2XSU6 W295 |The one dude talking is shouting "I have never been afraid in my whole life!"|
3J4Q2Z4UTZ1WHHMLXS160NACKUOWQL W385 |moving by chain and fighting scenes are amazing to see|
3ZDAD0O1T2BOYXJ3O1RN7BZ6E7QXTZ W106 |Skywrath barely escapes with his life after an enemy blink-gank near his own t3 tower.|
3COPXFW7XCAKM5RP813EC7Q7TYNPK0 W29 |The steamer says he's not afraid of "these cucks" then the streamer almost dies and freaks out.|
3FDJT1UU756GTV96OMU0E1LQ26XK50 W300 |Skywrath Mage almost dies to Ursa and Lion but force staffs away to safety.|
3WETL7AQWU6AXX1Z3G21XF4ORKN53M W17 |The winged dudes were almost totally wiped out but they saved their leader's life.|
3OJSZ2ATDTUSYG2M5S5RAWG4WMG57Y W242 |Player confidently overstayed his welcome only to regret his decision and nearly died in the process.|
3HRMW88U17OCOCN8CS14CJH3A4Y0MJ W201 |Skywrath mage gets save boy glimmer force staff combo from ursa.|
320DUZ38G8KJY8S8NXDFHJC2DTFGJP W398 |Skywrath almost dies as a polymorph as his player screams,"Oh My God."|
3WI0P0II62QXKC1UTCLGDPVW9WYDR0 W277 |Gorge got killed by jsf.|
31Q0U3WYDQDTAY13453F763NJO7177 W398 |The Radiant break through the Dire's defenses. |
3C5W7UE9CGOKL2TJF4QBLX4EJSKXM9 W305 |Players were killed by enemies. Were killed after destroying a several siege towers.|
3Z4XG4ZF49P50DRFL3GSGF3JZQ88XF W295 |The guy said he couldn't ult.|
32VNZTT0A82KKGI101KNAL1QWNTR4X W385 |Extraordinary fighting sequences with good graphics|
3ZWFC4W1UV5UIWFQKIG61PYHLDCRFV W202 |Gorgc kills Manta with an auto attack|
31Q0U3WYDQDTAY13453F763NKS817H W387 |WAROUS PUNCH|
