3XIQGXAUMD610ZMWBYOM2F7PYFK7X3 W157 |Mendoza killed KingArthas |
3Z4AIRP3C7BNPD7UMI7D15GCVTKX1W W188 |Crystal Maiden was killed by Alchemist Acid Spray after being hit by a Clockwerk hookshot.|
3E337GFOLA6FHYJT2V57AQTKV4VNG4 W412 |@dpmlicious killed Shrine|
323Q6SJS8JEHT21NOD4CNLWC8DMHFQ W355 |@dpmlicious killed Shrine and Dracula killed Your Friend|
3NC5L260MPKRLJNASQZ27UTDKZ0OFL W126 |&lt;777&gt; killed Dracula|
33C7UALJVMWXAC6MEAVLL6ZJ4KL182 W160 |&#13;the green group killed the red|
37C0GNLMHG14YT3A1OII2U41NMZD6J W270 |A lot of action.  Clockwerk kills CM (Crystal Maiden), but she buys back.  Phoenix egg + nuke, along with chip damage from Storm and PA, takes out Clock, Alchemist, and SS (Shadown Shaman).  Storm dies in the process|
3TY7ZAOG5GIHYON5RGOOX6P0USBK03 W238 |"Dracula" killed "your friend|
3OONKJ5DKDH182BUNOD6O42S52JOBG W3 |Dracula killed Your friend |
3VSOLARPKC7TYK3B66FI9V9RMBM39S W382 |@dpmilicious killed Dire Mid Ranged Barracks|
3R2PKQ87NX6NV74OGIQAINH05SQIM6 W179 |Alchemist killed Crystal Maiden with autoattack after she force staffed into him.|
3NL0RFNU0GLYXC56AHBQ99FDB5V4K9 W141 skip
3LJ7UR74RIBZ5IQ97U3611WH500N4X W100 |Crystal Maiden killed Clockwerk|
3BXQMRHWK0WS4YZOAZFO1Q5BZNHMUM W231 |i think Red again had killed the green team on that dot, hard too tell again. and it looks like green comes back at it so idk|
3A1COHJ8NKT8ENR0GZY6DTFQLARH8T W414 |Phoenix killed Alchemist|
3NKQQ8O39Z3P04TBX6GLI0IHQ87DUB W221 |Darou killed the red player|
3HOSI13XH0M3J2IPBBQW80ET48EDD3 W355 skip
3F6HPJW4JEYFPYK0VHB545CAEXW2WT W136 |Darou killed (7 complicated Japanese letters) at 23:06|
3EFE17QCRD3QX769UX4BUKFRX3MHSF W173 skip
3VW04L3ZLU4VFESNTBSKWEKD088XXX W270 |Kunkka killed Zeus with Boat, Turrent, and Cleave|
3YGXWBAF71FGEETII4USLQ256VHC4X W75 |Darou is on a killing spree! He killed another player which I can not spell the name of with a ghostly (?) shark!|
3LJ7UR74RIBZ5IQ97U3611WH50XN4U W3 |Darou killed (name in Chinese characters)|
3A0EX8ZRN9MD2GFWTBM4QV0UJCJBYF W382 |darou kills a unknown player(gamer tag in different language) darou is also on a killing spree|
3BDCF01OGYSPFP18KOBY4YWZV6YYLQ W179 |Kunkka killed Zeus with an X + torrent + ghost ship combo.|
33JKGHPFYDSF98FFDY32NVDHRRNMNT W231 |Player with red power bar killed player with green power bar who was standing by shark|
37ZHEEHM6XKPK1FIR9HYVZILRL273O W169 |The blue person killed the other players.|
3A9AA95ATXKH4M6M1EZ8AI7Q5BZP53 W414 |Kunkka solo-kills Zeus|
32Z9ZLUT1MIBZFEGNGN2AF5Q0FWOH4 W82 |Kunkka kills Zeus with an X marks the Spot, torrent and boat combo. |
35L9RVQFCPG6CKYDJ2ZB9LXFI1JUHM W397 |Darou kill stunned using killing spree|
3B2X28YI3XDBJW5QNSRC74G1K2Z6BJ W287 |The player with the red health bar appeared to be killed by the shark power, if the green player was the one who activated the shark power then the green player killed the reed player|
384PI804XTZFM70DWPXQOSGABMCS0G W171 |This is action game. The allies killed to our enemys.|
3NJM2BJS4X4237F1GOMGOOD0XR3PCR W54 |Darou killed WTS with a meteor|
3FTYUGLFSVJ8FP3WW58DAOQ1RRF5DM W412 |Darou killed player WTS|
3XUHV3NRVLWPR58YI1R3195ZJJ8H57 W189 |Treant protector tries to hide from enemy team with invisibilty but gets found with dust of appearance and whole team jumps on treant and gets killed by invoked.|
3R3YRB5GRG1R2XQZDWPJSZAB55BUAR W136 |Darou killed WTS 220 gold the kill happened at 3:56 in the video|
33LK57MYLU3COS630JAIURJWTTYSZB W355 skip
3W92K5RLWVFU963INQ87GAW8RYKV5C W284 |Darou killed WTS     |
3PXX5PX6LYWC6YHTD58ON9INGKDBA0 W270 |Invoker killed Treant Protector with meatball|
3X87C8JFV793A05CDNR53Y7SOQLQSN W238 |"SR" killed "Top1.Sochi|
3C5W7UE9CGOKL2TJF4QBLX4FT4RXMG W382 |a player killed another player|
3U84XHCDIDBTM74SAIE0WO3QFE54ZS W3 skip
3U8YCDAGXQE39RL04L8LTS19TZ60QG W179 |Invoker killed Treant Protector with a tornado + meteor + EMP combo.|
388U7OUMF8Z3LS00H0XLYIBEPL7R07 W80 skip
3E4GGUZ1T9POUYQJ63S2GUIFRR22KE W231 |hard to tell on this one. Looks like green is making a lot of kills, mainly because out numbered. looks like red threw in some bombs though and may have made kills too|
3IQ1VMJRYUITI52WFLUSW3NXSLK9A0 W414 |Invoker killed Treant Protector|
3YDGXNSEO0SE2B351SENJ46MG4M489 W188 |Dragon Knight was killed while his ultimate was active by the tower after being stunned and attacked by Rubick, Earthshaker, and Spirit Breaker. Spirit Breaker got a bash hit to secure the kill.|
3R3YRB5GRG1R2XQZDWPJSZAB55BAU7 W136 |Hard to read, very pixelated. Looks like "idc mmr - emocho (sad)" killed "Guba is my only friend".|
36W0OB37HXCNYJSNPPYJQDCUKIGZHW W144 skip
31QNSG6A5SRBLYLO3QCUMGQW76E87Z W355 |idc mmr killed Bulba is my only friend|
38YMOXR4MVX37Z31IJN8UITMU2XW63 W412 |idc mmr killed Bulba is my only friend|
36WLNQG7808FWBY5TAAAJS8E1Z5BEP W179 |Spirit Breaker killed Dragon Knight by hitting him with a greater bash.|
3UXUOQ9OKFVP4ME30OW8I7WRXULA7C W126 |Idc mmr killed Bulba is my only friend|
36WLNQG7808FWBY5TAAAJS8E1ZBBEV W238 |"idc mmr" killed "Bulba is my only friend"|
3ZY8KE4ISK1J2SMG7IWAELRZNUFVQX W382 |a player killed another a bounty the player then gets killed|
36NEMU28XGB5W2OT5ZUPJEQ8K2KWML W270 |Rubick, Earthshaker, and SB (Spirit Breaker) kill DK (Dragon Knight) with a combo of right clicks and nukes after DK was charged.|
3X31TUMD7YKSPJQ58Z4PQBLPOLO1LU W3 |Idc mmr killed Bulba is my only friend |
37C0GNLMHG14YT3A1OII2U41NN76DM W231 |red killed green again it looks like...along with help from those towers|
3DHE4R9OCX9JSCU0GC7NI2QMKAN2GD W414 |Dragon Knight was killed by the tower|
323Q6SJS8JEHT21NOD4CNLWC8E8FHC W287 |the player with the asian symbol name killed the player with the green health bar|
30X31N5D64OBNKYVORUJDYSNK9ESAZ W370 |Team tower speared and blasted invaders|
