001-29 001-15 001-35
003-48 003-15 003-25
004-29 003-56 004-10
007-08 006-50 007-05
009-51 009-30 009-40
011-54 010-55 011-15
012-49 012-00 012-15
013-27 012-15 012-30
016-58 015-45 016-20
017-24 015-45 016-20
018-47 017-40 017-50
019-29 018-55 019-20
020-22 018-55 019-20
020-48 020-00 020-08
022-18 021-20 021-20
025-28 024-20 024-50
026-02 025-20 025-35
026-32 026-00 026-10
027-59 027-20 027-25
030-12 029-00 029-20
031-18 030-00 030-30
035-53 034-45 034-55
036-53 036-30 036-50
037-53 037-10 037-20
